Block,TRT,Cored,AUDPC,Response,Month
1,1,Non,5121.7125,35,1
2,1,Non,3971.0125,27,1
3,1,Non,4303.0625,38,1
4,1,Non,4115.9,30,1
1,2,Non,4838.0875,35,1
2,2,Non,4241.5875,32,1
3,2,Non,3770.975,31,1
4,2,Non,4074.575,30,1
1,3,Non,4802.95,37,1
2,3,Non,4182.125,33,1
3,3,Non,5330.4,42,1
4,3,Non,4836.9,42,1
1,4,Non,5135.725,39,1
2,4,Non,4147.3625,32,1
3,4,Non,4522.3625,39,1
4,4,Non,3988.575,30,1
1,5,Non,6038.25,42,1
2,5,Non,6090.4875,44,1
3,5,Non,5298.35,43,1
4,5,Non,4748,38,1
1,6,Non,5959.4625,43,1
2,6,Non,4341.3125,41,1
3,6,Non,4355.4375,32,1
4,6,Non,4707.425,41,1
1,7,Non,5000.7,36,1
2,7,Non,4295.6375,37,1
3,7,Non,4482.25,41,1
4,7,Non,4096,34,1
1,8,Non,6463.1,47,1
2,8,Non,4618.225,42,1
3,8,Non,4140.775,36,1
4,8,Non,4567.05,34,1
1,1,Oui,4495.25,33,1
2,1,Oui,4482.225,33,1
3,1,Oui,4067.15,34,1
4,1,Oui,4388.1125,33,1
1,2,Oui,4079.775,36,1
2,2,Oui,4110.65,32,1
3,2,Oui,3921.5125,32,1
4,2,Oui,4119.6,33,1
1,3,Oui,4624.8,39,1
2,3,Oui,4299.1,34,1
3,3,Oui,5021.925,40,1
4,3,Oui,4461.8,37,1
1,4,Oui,4129.65,36,1
2,4,Oui,4336.8375,34,1
3,4,Oui,3766.0125,33,1
4,4,Oui,4248.8375,36,1
1,5,Oui,5024.5375,39,1
2,5,Oui,5229.075,43,1
3,5,Oui,4258.125,37,1
4,5,Oui,4577.1625,39,1
1,6,Oui,5436.175,43,1
2,6,Oui,4132.7625,40,1
3,6,Oui,4617.975,38,1
4,6,Oui,4653.725,40,1
1,7,Oui,4417.025,36,1
2,7,Oui,4154.0375,36,1
3,7,Oui,3797.0625,35,1
4,7,Oui,4335.4,39,1
1,8,Oui,6248.825,47,1
2,8,Oui,4133.725,39,1
3,8,Oui,4344.5375,34,1
4,8,Oui,4405.25,35,1
1,1,Non,5121.7125,33,2
2,1,Non,3971.0125,25,2
3,1,Non,4303.0625,27,2
4,1,Non,4115.9,29,2
1,2,Non,4838.0875,29,2
2,2,Non,4241.5875,18,2
3,2,Non,3770.975,22,2
4,2,Non,4074.575,28,2
1,3,Non,4802.95,32,2
2,3,Non,4182.125,28,2
3,3,Non,5330.4,37,2
4,3,Non,4836.9,38,2
1,4,Non,5135.725,33,2
2,4,Non,4147.3625,24,2
3,4,Non,4522.3625,33,2
4,4,Non,3988.575,27,2
1,5,Non,6038.25,38,2
2,5,Non,6090.4875,38,2
3,5,Non,5298.35,36,2
4,5,Non,4748,35,2
1,6,Non,5959.4625,38,2
2,6,Non,4341.3125,33,2
3,6,Non,4355.4375,32,2
4,6,Non,4707.425,37,2
1,7,Non,5000.7,32,2
2,7,Non,4295.6375,18,2
3,7,Non,4482.25,34,2
4,7,Non,4096,27,2
1,8,Non,6463.1,41,2
2,8,Non,4618.225,20,2
3,8,Non,4140.775,25,2
4,8,Non,4567.05,29,2
1,1,Oui,4495.25,25,2
2,1,Oui,4482.225,29,2
3,1,Oui,4067.15,24,2
4,1,Oui,4388.1125,29,2
1,2,Oui,4079.775,24,2
2,2,Oui,4110.65,19,2
3,2,Oui,3921.5125,24,2
4,2,Oui,4119.6,27,2
1,3,Oui,4624.8,34,2
2,3,Oui,4299.1,28,2
3,3,Oui,5021.925,35,2
4,3,Oui,4461.8,34,2
1,4,Oui,4129.65,28,2
2,4,Oui,4336.8375,22,2
3,4,Oui,3766.0125,26,2
4,4,Oui,4248.8375,28,2
1,5,Oui,5024.5375,35,2
2,5,Oui,5229.075,32,2
3,5,Oui,4258.125,31,2
4,5,Oui,4577.1625,33,2
1,6,Oui,5436.175,35,2
2,6,Oui,4132.7625,29,2
3,6,Oui,4617.975,36,2
4,6,Oui,4653.725,33,2
1,7,Oui,4417.025,27,2
2,7,Oui,4154.0375,17,2
3,7,Oui,3797.0625,27,2
4,7,Oui,4335.4,27,2
1,8,Oui,6248.825,41,2
2,8,Oui,4133.725,15,2
3,8,Oui,4344.5375,23,2
4,8,Oui,4405.25,26,2
1,1,Non,5121.7125,22,3
2,1,Non,3971.0125,21,3
3,1,Non,4303.0625,17,3
4,1,Non,4115.9,21,3
1,2,Non,4838.0875,18,3
2,2,Non,4241.5875,20,3
3,2,Non,3770.975,14,3
4,2,Non,4074.575,20,3
1,3,Non,4802.95,17,3
2,3,Non,4182.125,20,3
3,3,Non,5330.4,21,3
4,3,Non,4836.9,17,3
1,4,Non,5135.725,16,3
2,4,Non,4147.3625,21,3
3,4,Non,4522.3625,17,3
4,4,Non,3988.575,21,3
1,5,Non,6038.25,33,3
2,5,Non,6090.4875,35,3
3,5,Non,5298.35,25,3
4,5,Non,4748,21,3
1,6,Non,5959.4625,26,3
2,6,Non,4341.3125,22,3
3,6,Non,4355.4375,21,3
4,6,Non,4707.425,16,3
1,7,Non,5000.7,22,3
2,7,Non,4295.6375,20,3
3,7,Non,4482.25,17,3
4,7,Non,4096,21,3
1,8,Non,6463.1,32,3
2,8,Non,4618.225,23,3
3,8,Non,4140.775,23,3
4,8,Non,4567.05,27,3
1,1,Oui,4495.25,18,3
2,1,Oui,4482.225,20,3
3,1,Oui,4067.15,21,3
4,1,Oui,4388.1125,26,3
1,2,Oui,4079.775,16,3
2,2,Oui,4110.65,12,3
3,2,Oui,3921.5125,20,3
4,2,Oui,4119.6,22,3
1,3,Oui,4624.8,17,3
2,3,Oui,4299.1,16,3
3,3,Oui,5021.925,19,3
4,3,Oui,4461.8,21,3
1,4,Oui,4129.65,16,3
2,4,Oui,4336.8375,14,3
3,4,Oui,3766.0125,17,3
4,4,Oui,4248.8375,20,3
1,5,Oui,5024.5375,21,3
2,5,Oui,5229.075,24,3
3,5,Oui,4258.125,18,3
4,5,Oui,4577.1625,24,3
1,6,Oui,5436.175,25,3
2,6,Oui,4132.7625,22,3
3,6,Oui,4617.975,20,3
4,6,Oui,4653.725,20,3
1,7,Oui,4417.025,19,3
2,7,Oui,4154.0375,17,3
3,7,Oui,3797.0625,18,3
4,7,Oui,4335.4,22,3
1,8,Oui,6248.825,34,3
2,8,Oui,4133.725,18,3
3,8,Oui,4344.5375,32,3
4,8,Oui,4405.25,30,3
1,1,Non,5121.7125,35,4
2,1,Non,3971.0125,27,4
3,1,Non,4303.0625,29,4
4,1,Non,4115.9,29,4
1,2,Non,4838.0875,33,4
2,2,Non,4241.5875,26,4
3,2,Non,3770.975,23,4
4,2,Non,4074.575,28,4
1,3,Non,4802.95,29,4
2,3,Non,4182.125,27,4
3,3,Non,5330.4,35,4
4,3,Non,4836.9,25,4
1,4,Non,5135.725,35,4
2,4,Non,4147.3625,25,4
3,4,Non,4522.3625,27,4
4,4,Non,3988.575,25,4
1,5,Non,6038.25,43,4
2,5,Non,6090.4875,34,4
3,5,Non,5298.35,33,4
4,5,Non,4748,27,4
1,6,Non,5959.4625,39,4
2,6,Non,4341.3125,20,4
3,6,Non,4355.4375,29,4
4,6,Non,4707.425,26,4
1,7,Non,5000.7,36,4
2,7,Non,4295.6375,26,4
3,7,Non,4482.25,24,4
4,7,Non,4096,20,4
1,8,Non,6463.1,40,4
2,8,Non,4618.225,27,4
3,8,Non,4140.775,25,4
4,8,Non,4567.05,33,4
1,1,Oui,4495.25,31,4
2,1,Oui,4482.225,31,4
3,1,Oui,4067.15,26,4
4,1,Oui,4388.1125,29,4
1,2,Oui,4079.775,27,4
2,2,Oui,4110.65,24,4
3,2,Oui,3921.5125,25,4
4,2,Oui,4119.6,26,4
1,3,Oui,4624.8,26,4
2,3,Oui,4299.1,27,4
3,3,Oui,5021.925,31,4
4,3,Oui,4461.8,25,4
1,4,Oui,4129.65,24,4
2,4,Oui,4336.8375,28,4
3,4,Oui,3766.0125,22,4
4,4,Oui,4248.8375,30,4
1,5,Oui,5024.5375,33,4
2,5,Oui,5229.075,35,4
3,5,Oui,4258.125,25,4
4,5,Oui,4577.1625,26,4
1,6,Oui,5436.175,37,4
2,6,Oui,4132.7625,23,4
3,6,Oui,4617.975,29,4
4,6,Oui,4653.725,31,4
1,7,Oui,4417.025,28,4
2,7,Oui,4154.0375,23,4
3,7,Oui,3797.0625,20,4
4,7,Oui,4335.4,26,4
1,8,Oui,6248.825,39,4
2,8,Oui,4133.725,28,4
3,8,Oui,4344.5375,29,4
4,8,Oui,4405.25,27,4
1,1,Non,5121.7125,40,5
2,1,Non,3971.0125,31,5
3,1,Non,4303.0625,36,5
4,1,Non,4115.9,37,5
1,2,Non,4838.0875,39,5
2,2,Non,4241.5875,36,5
3,2,Non,3770.975,30,5
4,2,Non,4074.575,33,5
1,3,Non,4802.95,36,5
2,3,Non,4182.125,34,5
3,3,Non,5330.4,43,5
4,3,Non,4836.9,37,5
1,4,Non,5135.725,41,5
2,4,Non,4147.3625,32,5
3,4,Non,4522.3625,36,5
4,4,Non,3988.575,32,5
1,5,Non,6038.25,43,5
2,5,Non,6090.4875,47,5
3,5,Non,5298.35,42,5
4,5,Non,4748,38,5
1,6,Non,5959.4625,42,5
2,6,Non,4341.3125,33,5
3,6,Non,4355.4375,36,5
4,6,Non,4707.425,37,5
1,7,Non,5000.7,38,5
2,7,Non,4295.6375,37,5
3,7,Non,4482.25,35,5
4,7,Non,4096,34,5
1,8,Non,6463.1,45,5
2,8,Non,4618.225,39,5
3,8,Non,4140.775,32,5
4,8,Non,4567.05,34,5
1,1,Oui,4495.25,38,5
2,1,Oui,4482.225,38,5
3,1,Oui,4067.15,36,5
4,1,Oui,4388.1125,35,5
1,2,Oui,4079.775,34,5
2,2,Oui,4110.65,31,5
3,2,Oui,3921.5125,30,5
4,2,Oui,4119.6,33,5
1,3,Oui,4624.8,40,5
2,3,Oui,4299.1,37,5
3,3,Oui,5021.925,39,5
4,3,Oui,4461.8,36,5
1,4,Oui,4129.65,35,5
2,4,Oui,4336.8375,31,5
3,4,Oui,3766.0125,32,5
4,4,Oui,4248.8375,37,5
1,5,Oui,5024.5375,42,5
2,5,Oui,5229.075,43,5
3,5,Oui,4258.125,34,5
4,5,Oui,4577.1625,40,5
1,6,Oui,5436.175,42,5
2,6,Oui,4132.7625,33,5
3,6,Oui,4617.975,39,5
4,6,Oui,4653.725,35,5
1,7,Oui,4417.025,35,5
2,7,Oui,4154.0375,32,5
3,7,Oui,3797.0625,39,5
4,7,Oui,4335.4,37,5
1,8,Oui,6248.825,46,5
2,8,Oui,4133.725,32,5
3,8,Oui,4344.5375,35,5
4,8,Oui,4405.25,35,5
1,1,Non,5121.7125,38.15,6
2,1,Non,3971.0125,21.775,6
3,1,Non,4303.0625,28.5,6
4,1,Non,4115.9,23.35,6
1,2,Non,4838.0875,34.625,6
2,2,Non,4241.5875,27.35,6
3,2,Non,3770.975,24.95,6
4,2,Non,4074.575,23.35,6
1,3,Non,4802.95,33.475,6
2,3,Non,4182.125,22.8,6
3,3,Non,5330.4,37.175,6
4,3,Non,4836.9,30.775,6
1,4,Non,5135.725,34.725,6
2,4,Non,4147.3625,25.35,6
3,4,Non,4522.3625,27.925,6
4,4,Non,3988.575,19.625,6
1,5,Non,6038.25,41.75,6
2,5,Non,6090.4875,41.6,6
3,5,Non,5298.35,37.05,6
4,5,Non,4748,30.05,6
1,6,Non,5959.4625,40.025,6
2,6,Non,4341.3125,24.525,6
3,6,Non,4355.4375,24.05,6
4,6,Non,4707.425,30.325,6
1,7,Non,5000.7,32.775,6
2,7,Non,4295.6375,27.65,6
3,7,Non,4482.25,29.35,6
4,7,Non,4096,19.625,6
1,8,Non,6463.1,43.45,6
2,8,Non,4618.225,33.475,6
3,8,Non,4140.775,25.075,6
4,8,Non,4567.05,20.8,6
1,1,Oui,4495.25,33.325,6
2,1,Oui,4482.225,28.05,6
3,1,Oui,4067.15,23.2,6
4,1,Oui,4388.1125,26.6,6
1,2,Oui,4079.775,27.375,6
2,2,Oui,4110.65,27.35,6
3,2,Oui,3921.5125,23.35,6
4,2,Oui,4119.6,26.325,6
1,3,Oui,4624.8,32.175,6
2,3,Oui,4299.1,23.65,6
3,3,Oui,5021.925,33.75,6
4,3,Oui,4461.8,25.35,6
1,4,Oui,4129.65,29.325,6
2,4,Oui,4336.8375,28.925,6
3,4,Oui,3766.0125,21.65,6
4,4,Oui,4248.8375,26.075,6
1,5,Oui,5024.5375,34.9,6
2,5,Oui,5229.075,38.025,6
3,5,Oui,4258.125,23.5,6
4,5,Oui,4577.1625,29.625,6
1,6,Oui,5436.175,39.625,6
2,6,Oui,4132.7625,20.65,6
3,6,Oui,4617.975,25.075,6
4,6,Oui,4653.725,28.5,6
1,7,Oui,4417.025,28.775,6
2,7,Oui,4154.0375,26.625,6
3,7,Oui,3797.0625,19.375,6
4,7,Oui,4335.4,20.65,6
1,8,Oui,6248.825,43.15,6
2,8,Oui,4133.725,28.65,6
3,8,Oui,4344.5375,23.35,6
4,8,Oui,4405.25,26.075,6
